date,Investifai,Gold,ACWI,SP,benchmark
12/21/2015,154.097547320549,65.8222177221905,140.981611968498,171.369217766196,124.075646188457
12/22/2015,155.247646991574,65.4776315592916,142.077645730498,172.924308170379,124.759754184598
12/23/2015,157.150715460752,65.2861932422733,144.116814022522,175.065697389605,125.822555545314
12/24/2015,156.862086971047,65.7584062260938,143.938382049828,174.77674078083,125.707774427245
12/25/2015,156.862086971047,65.7584062260938,143.938382049828,174.77674078083,125.707774427245
12/28/2015,156.511359828063,65.2606677504648,143.505060232555,174.377365271964,125.418997075373
12/29/2015,157.86247036347,65.2159992565121,144.844100849868,176.238321533247,125.941186685187
12/30/2015,156.979081119178,64.7182652477324,143.79838128258,174.989179269611,125.334734953765
12/31/2015,155.752942399597,64.743790739541,142.370066887635,173.238711392218,124.654750046224
01/01/2016,155.752942399597,64.743790739541,142.370066887635,173.238711392218,124.654750046224
01/04/2016,153.955939613867,65.6563042588595,139.845066514743,170.816930356772,123.359831965835
01/05/2016,154.537866876293,65.8413600862133,139.972614635759,171.105832109916,123.502024187891
01/06/2016,152.89062141644,66.79215960982,137.85566752816,168.947451358917,122.49570609536
01/07/2016,150.131639005249,67.7365817487329,134.641993163126,164.894130368833,120.739856750475
01/08/2016,149.052974001347,67.4366634416653,133.086191190417,163.084177959201,119.958297319707
01/11/2016,148.958077761527,66.8368281037726,133.23923077266,163.245613510591,119.975267295111
01/12/2016,149.657822476894,66.4986244305382,134.106389024851,164.56275024339,120.394256959452
01/13/2016,147.446858911987,66.824067591293,131.377330371704,160.458469286158,119.168666071882
01/14/2016,148.916700253179,65.7392587571003,133.290219199047,163.092645840141,120.019804708076
01/15/2016,146.79613963786,66.4156705704187,129.51544923451,159.591696371448,117.887573811104
01/18/2016,146.79613963786,66.4156705704187,129.51544923451,159.591696371448,117.887573811104
01/19/2016,146.817670203168,66.3518590743219,130.28062237803,159.804148574137,118.357753770614
01/20/2016,145.581224412098,67.2388477399532,128.189174987557,157.756227864953,117.161820243179
01/21/2016,146.116297505418,67.3154191104082,128.903337688962,158.639992311435,117.516773109119
01/22/2016,148.307375121972,67.0027409289823,132.168000480383,161.894533941711,119.375053851187
01/25/2016,146.743443887793,67.6919132547802,130.204081947163,159.447238637922,118.346274563674
01/26/2016,148.253553941825,68.4640394406977,132.372050504741,161.622583492876,119.503853902913
01/27/2016,147.311840776801,68.7192886156913,131.27531223944,159.863619392468,119.111852919892
01/28/2016,148.007460403819,67.9854484340621,131.989463932981,160.696394615466,119.696476568572
01/29/2016,150.544961237044,68.2470756318708,134.820529710528,164.613725752965,121.667386015529
02/01/2016,150.304233756514,68.9490129369977,134.565474747987,164.55421287865,121.343666875859
02/02/2016,148.529786218796,68.9745333238356,131.708906501349,161.588599515072,119.791344765677
02/03/2016,149.320694623673,69.7147566332507,132.729093327919,162.557337162841,120.671117733685
02/04/2016,149.576578154429,70.5570768049293,133.111679899679,162.812254938181,120.950647382857
02/05/2016,147.735576400621,71.6737891537457,130.892725667681,159.710651722018,119.873291237533
02/08/2016,146.545836705804,72.6373536566813,128.750278842957,157.560794621851,118.976236940645
02/09/2016,146.23302529535,72.4778233211361,128.036168428906,157.569318272683,118.481920935374
02/10/2016,146.26809196031,73.0393681878912,128.010638440155,157.433314706189,118.529127156671
02/11/2016,145.192143777099,75.9747257238014,126.301796885204,155.385422339082,117.595223984899
02/12/2016,146.958360686449,75.5280426986389,128.520762125066,158.589003087951,118.802960282206
02/15/2016,146.958360686449,75.5280426986389,128.520762125066,158.589003087951,118.802960282206
02/16/2016,148.483091851475,73.2371845277245,131.096772940072,161.26568727057,120.046314087955
02/17/2016,150.144826862238,73.690254509401,133.468766754313,163.899934222612,121.274922472653
02/18/2016,149.900042682534,75.4833742046863,132.907651891049,163.228607350651,121.136161242912
02/19/2016,149.812057807594,75.0303086898593,132.678104901532,163.152145000548,120.995318774244
02/22/2016,151.376064711901,73.696632532216,134.539986038726,165.514496359387,122.216689085812
02/23/2016,150.133414677068,74.8005843685528,132.550576044279,163.42405430766,121.19019523923
02/24/2016,150.580776375842,75.0494516920033,132.754615060772,164.171828901556,121.309856421504
02/25/2016,151.825140372501,75.2472673937154,134.182899184092,166.160265078501,122.153607337698
02/26/2016,151.547140707735,74.7303910209129,133.851331310345,165.777895729575,121.736732941661
02/29/2016,150.860619909778,75.7067153982069,133.137201632532,164.477764242455,121.556007583989
03/01/2016,153.257489211986,75.1515485542669,136.401864423954,168.344133584287,123.417166942706
03/02/2016,153.852063601175,75.7322408900154,137.269044691873,169.100431829014,123.917714815937
03/03/2016,154.402082240615,77.0403915558501,138.289242526307,169.763206708068,124.523320122828
03/04/2016,154.815287926318,76.919147224593,139.15643380209,170.315535259216,125.153601139269
03/07/2016,154.986728648597,77.3020187536588,139.258429918626,170.451511397894,125.116212775513
03/08/2016,153.783069787243,76.9446727164016,137.753627380169,168.590555136611,124.397065667776
03/09/2016,154.348540568576,76.3065513742208,138.493278790835,169.423330359609,124.746439509626
03/10/2016,154.401219117515,77.5317430749652,138.41677138356,169.559278156211,124.747741719057
03/11/2016,156.214904828632,76.1980720222928,141.196840478822,172.295475213145,126.226142217361
03/14/2016,156.045558182142,75.215364517213,140.890794337929,172.074513073532,126.030093571915
03/15/2016,155.756638867576,75.2727928855239,139.972614635759,171.794122171573,125.453160161129
03/16/2016,156.810659346602,76.9510501010953,141.298847603222,172.788346659869,126.50342509308
03/17/2016,157.761962631384,76.6575149218135,142.548614442901,173.884508453408,127.525774951929
03/18/2016,158.197914367658,76.4469387076219,142.829171874533,174.567803909842,127.784375932416
03/21/2016,158.301667067502,75.9109142277047,142.829171874533,174.815509083937,127.843791471397
03/22/2016,158.145245081219,76.1342560593466,142.650643583029,174.721552358776,127.663977596583
03/23/2016,157.320551876155,74.4113303498225,141.171329753833,173.568500704355,126.976983452786
03/24/2016,157.166064665392,74.2326570121333,140.865264349177,173.491605909026,126.697262980826
03/25/2016,157.166064665392,74.2326570121333,140.865264349177,173.491605909026,126.697262980826
03/28/2016,157.394536212733,74.4049472220367,141.298847603222,173.594114627095,126.969791277773
03/29/2016,158.887334775197,75.7832918736326,142.778172440282,175.199873349318,128.053170944621
03/30/2016,159.479720075054,74.7240078931271,143.670841417463,175.968588166174,128.585415289926
03/31/2016,159.36713991756,75.068594056026,142.982211456776,175.541548962481,128.355138366614
04/01/2016,159.932514351474,74.615528541199,142.880190572546,176.737317611197,128.423156377912
04/04/2016,159.447546060716,74.1177951705407,142.370066887635,176.165011553419,128.024605920272
04/05/2016,158.223058704906,75.0813596734764,140.329660210903,174.405545523984,126.971389387963
04/06/2016,159.495103054377,74.6219110308635,142.013021312491,176.310222637613,127.833263429667
04/07/2016,158.079085681684,75.6875730341841,140.202142361514,174.200529002108,126.832744432142
04/08/2016,158.700818970526,75.5727105544702,141.681445182846,174.670326341818,127.640893527049
04/11/2016,158.518616878112,76.5937040638381,141.630434740731,174.26033443979,127.781463466063
04/12/2016,159.796285414853,76.6064690431671,143.415783702956,175.883197147829,128.621285257823
04/13/2016,160.9819951383,75.7896698964477,145.150135982897,177.659794590894,129.65994274233
04/14/2016,160.86639474474,74.7303910209129,145.354205271017,177.668304527818,129.584168266853
04/15/2016,160.76761308477,75.2472673937153,145.124655529534,177.471867426666,129.561916912733
04/18/2016,161.673578560444,75.1324055521228,146.170353081093,178.718903234063,130.07582592804
04/19/2016,162.3083050499,76.3065513742208,147.547637770161,179.28261524295,130.911369821638
04/20/2016,162.111561524765,75.9172967173692,147.420111664874,179.453481391607,130.699327508516
04/21/2016,161.219634331083,76.2044494069865,146.705968227231,178.488287417615,130.057841778417
04/22/2016,161.331270251536,75.2281243915712,146.680449246344,178.488287417615,129.942065988239
04/25/2016,161.069543941227,75.4450882003981,146.144856115933,178.180817947563,129.603395688805
04/26/2016,161.48496429676,75.745001402495,146.654957785116,178.445556709413,129.968613349919
04/27/2016,161.988922295176,75.9619652113218,146.884496518735,178.812846245316,130.406585738517
04/28/2016,160.992267475061,77.3977382312286,145.532722554657,177.189997251184,129.690061606301
04/29/2016,160.311023429282,78.9037052368966,144.895108540016,176.233368984008,129.319342632686
05/02/2016,161.17934005491,78.6420729341171,145.787769261299,177.634167868508,129.722982928374
05/03/2016,159.958772780545,78.4633995964278,143.696341134588,176.088157899813,128.612883398299
05/04/2016,159.326719850537,77.9848085897922,142.344578178373,175.105916624158,127.903108129912
05/05/2016,159.436103595111,77.8954722400083,142.370066887635,175.071766250939,127.927207335327
05/06/2016,159.897950787053,78.6037869298289,142.778172440282,175.712359341247,128.096244751244
05/09/2016,159.912888443627,76.9893412103542,142.446596310637,175.857556711534,127.865825180114
05/10/2016,161.447957071705,77.1999218913952,144.487013995233,178.044145142368,129.035301219095
05/11/2016,160.307021312227,77.9273802214813,143.441283420082,176.378566354295,128.496523850274
05/12/2016,160.43041881427,77.3147843711091,143.415783702956,176.429806085161,128.533393414599
05/13/2016,159.220153133176,77.6657479187018,141.808963032235,174.892362737542,127.680145022701
05/16/2016,160.47429824424,77.7231813919835,143.517812843084,176.617733249389,128.450495597286
05/17/2016,159.37077237979,77.9911910794567,142.421096593512,174.969257532871,127.824871713485
05/18/2016,158.799188370209,76.6383719196694,142.242557294144,175.020511891905,127.260717743918
05/19/2016,158.239842275893,76.4916072015745,141.579416042718,174.414069174816,126.823460837113
05/20/2016,159.029128311313,76.3895052343402,142.548614442901,175.515908526187,127.339488923933
05/23/2016,158.870345392119,76.1725465304841,142.21704932112,175.276754430739,127.188778708066
05/24/2016,160.383910759563,74.8516353521699,144.104438431337,177.548721080271,128.117672633472
05/25/2016,161.276951475315,74.6474365226721,145.303172813174,178.75306823545,128.796140309207
05/26/2016,161.436383506577,74.3921873476784,145.58374125267,178.8042805385,129.071026824619
05/27/2016,161.865137227585,73.7795914973062,145.736758819184,179.573037411339,129.12695274722
05/30/2016,161.865137227585,73.7795914973062,145.736758819184,179.573037411339,129.12695274722
05/31/2016,161.69629520615,74.0603616972591,145.379702236176,179.231389225992,128.988449267923
06/01/2016,161.915438934508,73.9837896886827,145.58374125267,179.598692475802,129.083832819937
06/02/2016,162.43877231135,73.8114943738086,145.838776951448,180.145315127042,129.448379913624
06/03/2016,162.501144708234,75.8598632440875,146.246874248197,179.607201498466,130.066597317387
06/06/2016,163.19116630321,75.8853887358961,147.139543225378,180.521113685608,130.549892797224
06/07/2016,163.656871598052,75.8215778779207,147.726166061665,180.802983861089,130.995572370865
06/08/2016,164.2225333327,76.9446727164016,148.287291932793,181.392364648347,131.477678372369
06/09/2016,163.997439980527,77.37221273942,147.216083656244,181.144659474252,131.038059966864
06/10/2016,162.639821717291,77.6848909208459,144.640031561748,179.427826327145,129.697912205927
06/13/2016,162.210966614322,78.25920076693,143.109740314029,178.044145142368,128.78765949033
06/14/2016,161.784461006823,78.3421552651708,142.140528154016,177.693931250205,128.309433864033
06/15/2016,162.550607502708,78.9228476009193,142.57412516789,177.446268132095,128.698877602347
06/16/2016,162.802598488828,78.0932879417203,142.676143300154,177.975801425687,128.817535707186
06/17/2016,162.803431616993,79.0951384489441,143.058729871914,177.312999118817,128.85318227456
06/20/2016,163.3973791545,78.622929931973,145.073647839385,178.454889480805,129.933438910672
06/21/2016,163.773960951515,77.1105804366405,145.762288807936,178.961474835336,130.267175340478
06/22/2016,163.786483789694,77.1488715458994,145.617565667,178.669560593777,130.331540704362
06/23/2016,164.754300243461,76.6447550474553,148.305075137203,180.996282305875,131.784471279405
06/24/2016,162.670583468922,80.4032891147787,140.320022825907,174.496851807896,127.713894709812
06/27/2016,162.195719640578,80.8372116274617,137.710030734507,171.371658841785,126.651630360675
06/28/2016,164.37986109428,79.9693666020958,140.707648247446,174.46254692465,128.494335677761
06/29/2016,165.795851592701,80.3011871475444,143.369330516568,177.433196035174,130.023593750222
06/30/2016,166.971529873733,80.703206783725,145.307457624264,179.854335259735,131.222870351263
07/01/2016,167.426347320994,81.9411641019198,145.617565667,180.232157076832,131.674301887277
07/04/2016,167.426347320994,81.9411641019198,145.617565667,180.232157076832,131.674301887277
07/05/2016,166.413080725765,82.6175708102674,143.808648867794,178.935679889013,130.764421598474
07/06/2016,166.907186968326,83.1025398397181,144.041239531728,180.008906543137,130.923217139839
07/07/2016,166.576157557793,82.7898661251416,143.705274016283,179.897302761412,130.841794498005
07/08/2016,168.895455257055,83.2876001339212,145.901807981131,182.576037630378,132.198937746968
07/11/2016,169.572090249133,82.5027038637041,147.168056345293,183.220007084787,132.74002901916
07/12/2016,170.57074717775,81.1371299345293,148.589358730824,184.550787327332,133.343634708715
07/13/2016,170.680067236877,81.8837350954875,148.537643785408,184.525035351254,133.408946908298
07/14/2016,171.386029114057,81.2519917761219,149.442135208604,185.555308217609,133.991662416869
07/15/2016,171.089965146579,80.9393084897252,149.132027165867,185.306319421744,133.703511159771
07/18/2016,171.398260661575,81.0669359487681,149.597158958345,185.804297013475,133.969467597336
07/19/2016,171.288700287896,81.1754153006961,148.899444757832,185.615392504749,133.615509403217
07/20/2016,171.790954580526,80.0140344579271,149.752223987578,186.388111782684,134.012449478415
07/21/2016,171.239507547225,81.2328487739778,149.312905636351,185.684099182858,133.708435792969
07/22/2016,171.980149009465,80.6266303082993,149.778048436693,186.516930175748,134.041263373798
07/25/2016,171.462229180142,80.0650854415443,149.390442278916,186.010359449386,133.666453602211
07/26/2016,171.580263499577,80.4032891147787,149.648860143931,186.096211255033,133.935173403541
07/27/2016,171.031072869758,81.6986748012844,149.855585079258,185.898741953753,134.060535821214
07/28/2016,171.373432121815,81.4625730952842,149.933113465926,186.113398438556,134.081818862019
07/29/2016,172.076559162735,82.3048881619921,150.785878935841,186.413892100838,134.597186110922
08/01/2016,171.682126725458,82.4580404747222,150.294892422621,186.259361959159,134.212295311212
08/02/2016,170.734263580907,83.1280697983761,149.364587558174,185.06592376051,133.644076097438
08/03/2016,170.886902248973,82.7324281850105,149.519652587407,185.606799370118,133.752191702116
08/04/2016,171.118010646711,82.8728155184117,150.06232102245,185.804297013475,134.226011415275
08/05/2016,172.042790746242,81.392379109523,151.018450336012,187.323967136576,134.712242933991
08/08/2016,172.210977524055,81.3221851237617,151.251021736183,187.212321298867,134.941861507955
08/09/2016,172.564726710567,81.6540063073317,152.103820229691,187.323967136576,135.416921418514
08/10/2016,172.426243943559,82.0368784745189,152.026291843024,186.860336484076,135.529822743185
08/11/2016,172.866597648329,81.468950479978,153.034114086274,187.727499788029,136.020665820258
08/12/2016,172.965690759157,81.2966602700745,152.775696221259,187.564376511718,136.027700937954
08/15/2016,173.349103759204,81.577429831906,153.421736755847,188.105279549142,136.35073310593
08/16/2016,172.363547528977,81.9794494680866,152.775696221259,187.135105598096,135.919520446707
08/17/2016,172.560159131582,81.9985924702307,152.930728226899,187.487118754963,135.917752360825
08/18/2016,173.026775156769,82.3878471270823,153.473407669806,187.907810247862,136.397280496792
08/19/2016,172.610999440819,81.6603887969962,152.904884514021,187.633041133842,136.000355740454
08/22/2016,172.560055686082,81.5391444657392,152.724003291571,187.624475427027,135.832034523314
08/23/2016,172.819198496179,81.5263839532596,153.034114086274,188.002241474232,135.936559693496
08/24/2016,172.235596459536,80.6202478186348,152.465599186387,187.040646943909,135.712032146116
08/25/2016,172.122219811579,80.5500589378443,152.129655686671,186.911841350493,135.561530640529
08/26/2016,171.449165463274,80.4351970962518,151.509436849232,186.559828193626,135.060234095242
08/29/2016,172.412534854886,80.594727431797,152.181345864392,187.478524706071,135.652786825939
08/30/2016,172.047564732276,79.784310774742,151.897073278636,187.169437909158,135.441441201466
08/31/2016,171.588270883952,79.6247804391968,151.302711913905,186.637085950381,135.038159511176
09/01/2016,171.665845023039,79.9502235999517,151.845380348948,186.645707427088,135.339599443611
09/02/2016,172.698016440115,80.7670182798218,153.034114086274,187.487118754963,136.088597259255
09/05/2016,172.698016440115,80.7670182798218,153.034114086274,187.487118754963,136.088597259255
09/06/2016,173.521882302733,82.132602418938,154.093615499381,188.053774682725,136.912556212135
09/07/2016,173.524158527193,81.8518271140145,154.067769034537,188.036573785295,136.817343424201
09/08/2016,172.883186651954,81.4178994963608,153.654308156018,187.60731658558,136.372673306581
09/09/2016,168.595967832405,80.8818801214143,150.08815647943,183.11695438171,133.998212479448
09/12/2016,170.489470797272,80.77977815418,151.767865722111,185.744198098166,134.859062130654
09/13/2016,167.787373966808,80.2437587792335,149.080323228316,183.074028936016,133.155179967366
09/14/2016,167.675123616005,80.5181509563713,148.95113768752,183.005308544,133.17943574044
09/15/2016,169.041807934778,80.0012745835689,150.527483086554,184.83410843426,134.122208398277
09/16/2016,168.376983576883,79.8034537768861,149.442135208604,184.11961932313,133.569740124695
09/19/2016,168.591313308448,79.9693666020958,149.829738614415,184.154132657775,133.89332128481
09/20/2016,168.575944378799,80.0459424394002,150.372407049458,184.162754134483,134.079828632808
09/21/2016,170.541112922748,81.2137013049843,152.749849756415,186.233763578849,135.67877019314
09/22/2016,171.502550741789,81.4051396220026,153.86104409921,187.407293754666,136.431461159203
09/23/2016,170.653554926762,81.4561906056197,152.801531678238,186.380438394136,135.758712283898
09/26/2016,169.587028078031,81.392379109523,151.431930478293,184.870379891886,134.944351515102
09/27/2016,170.270532353802,80.7989262612949,152.284698700175,186.018032837934,135.672520549498
09/28/2016,171.507617313358,80.5436764481799,153.266693742343,186.941347280268,136.166965980432
09/29/2016,170.222328681876,80.4479576087314,151.664479862736,185.250014687595,135.158785743042
09/30/2016,171.175062955111,80.1735647934723,152.724003291571,186.647925423111,135.699472081812
10/03/2016,170.786000085272,79.9693666020958,152.413906256699,186.199235616035,135.626562037938
10/04/2016,169.934902949627,77.1935394017307,151.793709434989,185.250014687595,134.984283270914
10/05/2016,170.581935233716,77.0722950704737,152.698159578694,186.069802839902,135.428641334915
10/06/2016,170.65379058826,76.3576023578379,152.465599186387,186.199235616035,135.366447742753
10/07/2016,170.124238930548,76.4086482364844,151.845380348948,185.560706925982,135.039837508299
10/10/2016,170.977520210437,76.6766630289284,152.568960278067,186.527142465761,135.473335140031
10/11/2016,169.148160013509,76.2874083720767,150.449946443989,184.171361897282,134.073167231832
10/12/2016,169.247664281719,76.4086482364844,150.449946443989,184.413012838211,134.096681022527
10/13/2016,168.847931047242,76.5937040638381,149.803914165299,183.808983768895,133.819955009131
10/14/2016,168.720394909258,76.1661640408197,149.907255993218,183.903888582215,133.754017914672
10/17/2016,168.380419478904,76.3703622321962,149.467970665583,183.265346178255,133.644553870323
10/18/2016,169.346551045932,76.8425707491673,150.785878935841,184.413012838211,134.403880964504
10/19/2016,169.874048442168,77.2828763896361,151.302711913905,184.904837456639,134.653139260297
10/20/2016,169.657638793151,77.0467695786651,151.070132257835,184.559702281667,134.564696855437
10/21/2016,169.621519974011,77.1042030519468,151.018450336012,184.645971904372,134.658889365534
10/24/2016,170.031796395357,76.9319077370726,151.483612400116,185.431260435941,134.864570158023
10/25/2016,169.676754412076,77.5126000728211,151.251021736183,184.809932643319,134.793392763373
10/26/2016,169.213042885206,77.0786775601382,150.55330753567,184.438904696148,134.301417187922
10/27/2016,168.553371936927,77.2190648935393,150.243210500798,183.947038021736,133.758950034347
10/28/2016,168.19894555056,77.5827940585824,149.752223987578,183.403400431096,133.596998855809
10/31/2016,168.233512477691,77.8125177417674,149.803914165299,183.412035621711,133.816133341219
11/01/2016,167.319584109676,78.3166342402116,148.873609300852,182.083137841577,133.254454530573
11/02/2016,166.364223213247,78.8973221091108,147.788250415037,180.987255811757,132.782928878042
11/03/2016,165.92276037716,79.3184847474354,147.374789536519,180.158847097004,132.537581892378
11/04/2016,165.600505517245,79.3759131157463,146.625385158284,179.960400451228,132.120372891486
11/07/2016,168.555023523623,77.9465232236254,149.623013679087,183.929724670261,133.976487163613
11/08/2016,169.111252369614,77.6210794247492,150.449946443989,184.758148013183,134.270386676003
11/09/2016,169.731340334128,77.5700290792534,150.915086492365,186.716980434477,133.512740486653
11/10/2016,169.354403546674,76.4150307261488,150.501647629575,187.182956165212,132.455468254644
11/11/2016,168.68677971375,74.7240078931271,149.674684593046,186.751494683383,131.754857082557
11/14/2016,168.614106842487,74.0922696787321,149.261234722392,186.898184126839,131.212056865409
11/15/2016,170.054694300178,74.7367735105774,150.55330753567,188.356528397014,132.183191313959
11/16/2016,169.672844825897,74.5134272120861,149.933113465925,188.002701347274,131.799627225994
11/17/2016,169.994023014557,74.130555044899,150.656671379316,188.969178943037,132.016181439283
11/18/2016,169.657988987918,73.4796738283599,149.933113465925,188.546325224007,131.507049050875
11/21/2016,170.854939426826,73.7540660054977,151.095986978577,189.970155245276,132.19016358045
11/22/2016,171.300590820425,73.7285405136891,151.716183800288,190.341225248431,132.646413126323
